,name,sector,positives,negatives,votes,rating
0,TCS,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L,3.3
1,Accenture,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",71.8k,3.7
2,Wipro,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",63.8k,3.6
3,Cognizant,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",60.1k,3.6
4,Capgemini,IT Services & Consulting,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51.8k,3.7
5,HDFC Bank,Banking,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",51k,3.8
6,Infosys,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",47.6k,3.5
7,ICICI Bank,Banking,"Job Security, Promotions / Appraisal, Skill Development / Learning",nan,45.2k,4.0
8,HCLTech,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44.8k,3.4
9,Tech Mahindra,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.5k,3.4
10,Genpact,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",41.1k,3.6
11,Teleperformance,BPO,nan,nan,37k,3.8
12,Jio,Telecom,"Job Security, Skill Development / Learning, Company Culture",nan,33.1k,4.4
13,Axis Bank,Banking,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",32.5k,3.6
14,Concentrix Corporation,BPO,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.5k,3.6
15,Amazon,Internet,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,31k,3.9
16,iEnergizer,BPO,"Company Culture, Job Security, Skill Development / Learning",nan,27.2k,4.6
17,Reliance Retail,Retail,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,27.1k,3.9
18,LTIMindtree,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",26k,3.6
19,IBM,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,25.4k,3.9
20,HDB Financial Services,NBFC,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",25.2k,3.9
21,Larsen & Toubro Limited,Engineering & Construction,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",23.4k,3.9
22,Deloitte,Management Consulting,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",22.5k,3.7
23,Kotak Mahindra Bank,Banking,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",22k,3.6
24,Reliance Industries,Oil & Gas,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,19.9k,4.0
25,Vodafone Idea,Telecom,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,17.4k,3.9
26,Bharti Airtel,Telecom,nan,Promotions / Appraisal,16.9k,3.8
27,BYJU'S,EdTech,nan,"Job Security, Work Life Balance, Company Culture",16.4k,3.2
28,WNS,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",14.9k,3.3
29,IDFC FIRST Bank,Banking,"Salary & Benefits, Work Life Balance, Skill Development / Learning",nan,14.1k,3.9
30,Ernst & Young,Management Consulting,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",14.1k,3.4
31,Tata Motors,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,14k,4.1
32,IndusInd Bank,Banking,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",13.9k,3.4
33,AU Small Finance Bank,Banking,"Skill Development / Learning, Salary & Benefits",nan,13.9k,3.9
34,Bajaj Finserv,NBFC,"Salary & Benefits, Skill Development / Learning, Job Security",nan,12.8k,4.0
35,Flipkart,Internet,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,12.7k,3.9
36,Muthoot FinCorp,NBFC,"Company Culture, Skill Development / Learning, Work Life Balance",nan,12.7k,4.6
37,PwC,Management Consulting,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",12.1k,3.3
38,Mahindra & Mahindra,Automobile,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,11.9k,4.0
39,Infosys BPM,BPO,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.8k,3.5
40,DXC Technology,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.8k,3.6
41,HDFC Life,Insurance,"Job Security, Skill Development / Learning",nan,11.8k,3.9
42,Bandhan Bank,Banking,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",10.8k,3.7
43,Digitide Solutions,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10.2k,3.5
44,Mphasis,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10.1k,3.3
45,Yes Bank,Banking,nan,"Job Security, Promotions / Appraisal, Company Culture",10k,3.6
46,Tata Steel,Iron & Steel,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,9.8k,4.0
47,Quess,Recruitment,nan,"Promotions / Appraisal, Job Security",9.5k,3.8
48,Maruti Suzuki,Automobile,"Job Security, Salary & Benefits, Company Culture",nan,9.4k,4.2
49,Asian Paints,Chemicals,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,9.4k,3.9
50,Startek,BPO,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",9.3k,3.1
51,UltraTech Cement,Building Material,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,9.2k,4.1
52,Paytm,FinTech,nan,"Job Security, Promotions / Appraisal, Company Culture",9.2k,3.2
53,Shriram Finance,NBFC,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,9k,4.0
54,Bajaj Finance,NBFC,"Salary & Benefits, Skill Development / Learning, Job Security",nan,9k,3.9
55,Sutherland Global Services,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",8.8k,3.4
56,Equitas Small Finance Bank,Banking,"Company Culture, Job Security, Skill Development / Learning",nan,8.8k,4.4
57,Cipla,Pharma,"Salary & Benefits, Work Life Balance, Skill Development / Learning",nan,8.5k,4.1
58,EXL Service,Analytics & KPO,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.4k,3.6
59,Wells Fargo,Financial Services,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",8.4k,3.7
60,Ericsson,Telecom,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",8.3k,3.9
61,Samsung,Consumer Electronics & Appliances,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,8.3k,3.9
62,Dr. Reddy's,Pharma,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,8.1k,4.0
63,Optum Global Solutions,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,7.8k,4.0
64,Delhivery,Logistics,nan,Promotions / Appraisal,7.7k,3.8
65,JPMorgan Chase & Co.,Financial Services,Job Security,Promotions / Appraisal,7.7k,3.8
66,ICICI Prudential Life Insurance,Insurance,"Job Security, Salary & Benefits, Skill Development / Learning",nan,7.6k,4.0
67,JSW Steel,Iron & Steel,"Job Security, Skill Development / Learning",Promotions / Appraisal,7.6k,3.9
68,HGS,BPO,nan,"Promotions / Appraisal, Salary & Benefits",7.5k,3.7
69,Jana Small Finance Bank,Banking,Salary & Benefits,Promotions / Appraisal,7.5k,3.8
70,Hexaware Technologies,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.5k,3.4
71,Ujjivan Small Finance Bank,Banking,"Company Culture, Work Life Balance, Job Security",nan,7.5k,4.0
72,Sun Pharmaceutical Industries,Pharma,"Salary & Benefits, Job Security, Skill Development / Learning",nan,7.5k,4.1
73,Amazon Development Centre India,Internet,"Company Culture, Work Life Balance",Promotions / Appraisal,7.4k,3.8
74,Lupin,Pharma,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,7.3k,4.1
75,Ekart Logistics,Logistics,Skill Development / Learning,Promotions / Appraisal,7.2k,3.9
76,L&T Construction,Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal",7.2k,4.0
77,Zydus Lifesciences,Pharma,"Salary & Benefits, Skill Development / Learning",nan,7.2k,3.9
78,Hindustan Unilever,FMCG,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,7.1k,4.2
79,KPMG India,Management Consulting,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",7.1k,3.4
80,ITC,FMCG,"Job Security, Skill Development / Learning",Promotions / Appraisal,7k,3.9
81,Axis Max Life Insurance,Insurance,"Skill Development / Learning, Company Culture, Work Life Balance",nan,7k,4.0
82,Megha Engineering & Infrastructures,Engineering & Construction,Work Life Balance,Promotions / Appraisal,6.8k,3.9
83,Tata Projects,Engineering & Construction,"Salary & Benefits, Company Culture, Work Life Balance",nan,6.7k,4.2
84,Coforge,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.6k,3.3
85,Bajaj Life Insurance,Insurance,Salary & Benefits,nan,6.5k,3.8
86,L&T Technology Services,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.4k,3.1
87,FIS,FinTech,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning",6.4k,3.8
88,Cholamandalam Investment & Finance,Financial Services,Salary & Benefits,nan,6.4k,3.8
89,Oracle,Software Product,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.3k,3.5
90,IIFL Finance,NBFC,"Work Life Balance, Company Culture, Job Security",nan,6.3k,4.0
91,Omega Healthcare,BPO,nan,"Promotions / Appraisal, Salary & Benefits",6.3k,3.8
92,Muthoot Finance,NBFC,nan,Promotions / Appraisal,6.2k,3.7
93,JLL,Real Estate,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,6.2k,4.1
94,Indian Army,Defence & Aerospace,"Job Security, Company Culture, Work Life Balance",nan,6.2k,4.7
95,eClerx,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,3.1
96,HCL Group,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,3.5
97,Virtusa Consulting Services,IT Services & Consulting,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",6k,3.7
98,DMart,Retail,"Job Security, Company Culture",Promotions / Appraisal,6k,3.9
99,Piramal Finance,NBFC,"Company Culture, Work Life Balance, Skill Development / Learning",nan,6k,4.2
100,HSBC Group,Financial Services,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",5.9k,3.9
101,Indiamart Intermesh,Internet,nan,"Work Satisfaction, Promotions / Appraisal, Company Culture",5.9k,3.5
102,SMFG India Credit,NBFC,Salary & Benefits,Promotions / Appraisal,5.8k,3.9
103,PolicyBazaar,Internet,Salary & Benefits,Work Life Balance,5.8k,3.8
104,Access Healthcare,BPO,Job Security,"Promotions / Appraisal, Skill Development / Learning",5.7k,3.7
105,Aurobindo Pharma,Pharma,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,5.7k,4.0
106,BigBasket,Internet,Job Security,Promotions / Appraisal,5.7k,3.9
107,Siemens,Industrial Automation,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,5.7k,3.9
108,Udaan,Internet,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",5.7k,3.9
109,Manappuram Finance,NBFC,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",nan,5.7k,3.9
